procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 2  1  66948  19828 134812 330048    4    0     4 28584  340 70462 88 12  0  0
 2  0  66948  20492 134820 334208    0    0     0   244  572 67946 86 13  0  1
 2  0  67016  15968 134824 333956    0  188     0   188  232 69662 85 12  3  0
 2  0  67056  16008 134824 328996    0  200     0   200  233 68629 82 15  2  0
 2  0  67060  20280 134832 319740    0   20     0 24836  643 68232 80 16  0  3
 2  1  67060  19240 134836 316000    0    0     0  9704  387 52415 82 15  3  0
 2  0  67100  15992 134840 314780    0  140     0   348  245 66504 84 13  3  0
 2  0  67680  16104 134840 309888    0  580     0   580  220 67112 85 13  2  0
 2  0  68476  16020 134848 305024   52  820   328   820  265 60743 85 12  3  0
 0  3  68476  19252 134848 295468   76    0    92 21020  557 32644 83 13  0  4
 1  1  69384  17468 134864 298288    4  908     4 10228  452 57767 87 12  0  1
 2  0  69540  18588 135092 293480    4  156     4  6692  346 69823 85 14  0  1
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 2  0  70568  18852 135152 288416    4 1032     4  3920  296 66081 86 10  0  3
 2  0  71848  19384 135160 284848    4 1280    16  1280  235 65900 86 13  1  0
 2  0  73796  16744 135160 283136    0 1952    20  1952  256 57034 84 14  2  0
 2  1  74392  20920 135168 270684    0  596     8 22276  402 65223 80 17  3  0
 2  0  76444  19448 135176 273148    0 2052    44  2332  509 65516 87 10  0  2
 2  0  78444  15960 135176 272888    4 2008     8  2008  246 67438 85 13  2  0
 2  0  80440  15900 135176 269760    0 1996    88  1996  257 59800 81 16  3  0
 2  0  82304  16636 135180 266680    4 2128     4  2128  289 53046 83 14  3  0
 0  3  83192  17928 135180 260376    8 1204   108 29896  671 63538 82 15  0  3
 3  1  83192  17048 135184 260032    4  228     4  8364  467 66707 85 12  0  3
 2  0  84464  17076 135192 255472   68 1476    68  1672  342 62352 85  8  3  3
 2  0  85532  18184 135192 252604   52 1088    52  1088  249 57687 82 13  3  2
 0  1  87944  16768 135196 254208   28 2424   156 20604  579 62886 85 15  0  0
 1  0  88588  20356 135208 246616  136  644   180  9924  451 67147 84 11  3  1
 3  0  90940  18996 135208 245792   48 2352    48  2352  262 62271 80 17  3  0
 3  0  93436  17620 135208 245996   44 2520    44  2520  274 62682 84 12  3  1
 2  0  94404  16988 135208 242452   84  996    84   996  254 59192 85  9  3  2
 2  0  95992  15948 135212 240824   60 1660    60  1660  269 64554 85 13  2  0
 2  1  95992  20148 135212 232500  160    0   160 28940  732 55458 71 17  0 12
 2  0  97360  18876 135232 229264  200 1368   248  9748  466 48948 75  6  3 15
 1  0  97864  15776 135232 233392   36  524   164   524  231 67288 83 16  0  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 2  0  99148  15836 135236 228568  296 1288   296  1288  306 60858 86 12  1  1
 0  1 102240  16560 135252 224848  164 3252   172  3252  341 57003 81 12  4  3
 2  1 103380  20000 135256 217144   48 1168    48 21656  584 56306 80 12  3  4
 2  0 104048  15912 135264 216896   84  668    84   896  272 65636 84  8  2  5
 1  0 106884  18868 135264 212540   96 2924    96  2924  308 60347 79 15  2  3
 2  0 108748  16040 135268 211928  220 2036   232  2036  321 51573 78 13  4  4
 2  2 109144  24412 135280 201296   76  392    76 28644  706 46449 62 13  0 25
 2  0 109156  16016 135392 207728  352   12   580  1724  363 59998 78 11  3  8
 2  0 109220  16036 135400 204656   36  164    36   164  224 62823 81 14  2  3
 2  0 111524  16260 135424 200844   80 2452   116  2452  307 61656 80 14  3  3
 2  0 113892  18976 135424 193096  300 2480   300  2480  350 53077 81 11  3  4
 2  0 115376  17304 135432 190532  284 1484   284  1484  311 57864 77 15  2  5
 2  1 117160  24204 135432 183364  148 1816   276 29772  891 47592 44 12  0 44
 0  0 117264  19564 135448 185436  196  104   196  7404  465 40922 59 10  0 32
 0  1 118092  18088 135452 180464  504  932   540  9364  416 51359 72  9  0 18
 0  0 119812  16756 135468 178456  312 1732   312  3940  495 55711 73  7  3 16
 0  2 123280  22136 135480 172992  600 3492   628 12636  710 57668 57  9  0 34
 0  1 125032  18764 135496 172348  332 1780   384  4916  417 47547 66 12  1 20
 0  1 127712  17304 135512 170164   96 2744   100  9052  419 52607 70 13  4 13
 0  1 131364  18484 135516 162624  232 3652   360 11548  433 45274 54 11  0 35
 0  2 132292  18000 135540 164712  556  920   600  3644  471 41725 54  9  0 37
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  1 136928  16896 135632 161708  524 4584   576  9764  504 50784 49 10  3 38
 0  1 138376  18504 135664 160304  432 1448   456  2292  415 34679 43 11  2 43
 0  2 140244  19052 135676 159960  320 1880   380  5096  428 23720 23  6  0 71
 0  1 141676  18780 135680 158464  336 1480   384  3652  386 40486 54  9  2 34
 0  1 142600  17816 135680 159776  400  892   436  5780  473  1617 18  3  0 78
 0  3 145080  19196 135688 153932  448 2592   488  4212  423 45047 43 10  3 43
 0  1 145772  18996 135700 154760  252  728   264  6992  450 10109 32  4  0 64
 0  1 148292  19104 132964 151584  392 2916   404  3592  410 61725 60 10  4 26
 0  1 149216  18452 132332 153116  448  932   452  7180  547  5377 11  3  0 85
 0  2 151744  17652 129136 153292  516 2808   576  3172  365 63369 71 13  1 14
 0  2 151744  18864 129152 153672  356  144   400  6148  659  3910  9  5  0 86
 0  1 152452  16916 129156 150736  596  904   628  1992  421 48217 55  5  3 37
 0  3 152808  16468 129160 152272  208  744   240   748  393 30347 28  4  0 68
 0  0 153020  16172 126872 150760  228  572   252  6916  399 28988 51  7  1 41
 0  0 153184  15896 124868 153588  272  288   272   288  356 24791 38  8  0 54
 0  0 154324  17788 122384 151024  632 1376   696  1376  514 22605 31  8  2 59
 1  0 155148  19612 121052 150716  528  976   544   976  474 10354 31  2  0 67
 0  2 155420  20400 120144 147656  432  272   440 13336  451   518  5  1  0 93
 0  0 155420  23140 120168 147224  784    0   800   136  486   559 10  0  1 89
 0  0 155420  21360 120168 147112 2044    0  2044     0  713  1200  5  2  2 91
 0  0 155576  20332 120168 147112 1288  300  1288   300  560   789  4  1  0 94
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 155576  18812 120168 146912 1780    0  1780     0  650  1033  5  1  2 92
 0  3 155584  17900 120168 146912  904    8   904   540  481   589  1  1  0 97
 0  0 155584  16784 120172 146904 1380    0  1380     4  601   840  5  1  0 93
 0  0 155600  16080 119740 146356 1744   84  1744    84  658  1004  0  2  1 97
 0  0 155916  19312 118464 143472 1120  588  1120   588  555   718  5  1  1 93
 0  3 156132  18664 118320 143100 1440  232  1440   240  570   868  5  1  1 93
 0  1 156588  18304 118476 142704  676  524   820   564  419   540  4  1  0 94
 0  0 157000  17612 118480 142208 1208  516  1212   516  538   764  4  0  1 94
 0  0 157208  16892 118480 141636 1500  208  1500   208  583   907  4  0  1 95
 0  0 157208  16024 118480 141116 1380    0  1380     0  549   845  4  1  1 93
 0  0 157208  15892 117564 140748 1952    0  1952     0  691  1130  6  0  2 92
 0  2 157208  16084 117584 139948  584    0   600   260  414   461  4  0  0 96
 0  0 157652  18768 117552 135672 1624  452  1624   452  623   971  4  0  2 93
 2  0 157996  18424 115932 136772  864  596   864   596  485   588  4  1  2 93
 0  1 158248  17784 115680 136632 1412  316  1416   316  579   854  4  3  2 90
 0  0 158728  16284 115288 137024  960  704   992   704  474   651  4  1  1 94
 0  0 159060  18964 115044 133832 1308  400  1308   436  571   822  4  0  1 95
 0  0 159236  18344 114692 133988 1024  284  1040   284  504   683  4  0  1 95
 0  1 159612  18224 114636 133732 1140  484  1140   484  517   722  5  1  1 92
 0  0 160348  17176 114380 133728 1368  780  1368   780  574   833  4  1  2 92
 0  0 160976  18780 113140 131308 1648  932  1652   960  649   997  4  1  1 93
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  1 160976  18820 112636 131300  876    0   876    16  474   594  5  0  0 95
 0  2 161460  18448 112652 131216  632  776   648   776  439   484  5  0  0 94
 0  0 161832  18308 112656 130184 1456  396  1460   396  587   871  4  2  0 93
 0  0 162316  17196 112664 130176 1116  636  1124   636  516   714  4  0  1 94
 0  1 162896  16316 112664 130176 1072  748  1072   748  519   699  4  0  0 96
 0  0 163372  18732 112672 127128  888  668   888   688  480   621  4  1  0 94
 0  0 164432  17880 112672 127128  996 1548   996  1548  509   677  4  0  3 93
 0  0 165040  17932 112700 126444  828  748   856   748  476   585  4  1  0 95
 0  0 165216  17028 112700 126184 1244  260  1244   260  556   772  3  2  2 93
 0  1 166348  20028 112128 123168  548 1704   560  1704  478   447  3  1  1 94
 0  1 166480  19760 111876 122384 1300  232  1300   252  568   808  5  0  2 92
 0  0 167160  19204 111876 122384  496  972   496   972  407   406  5  0  0 95
 0  1 167296  18604 111700 122300  804  252   804   252  424   548  4  0  0 95
 0  2 169084  18272 110704 119724  376 4116   404  4116  417   407  3  1  0 95
 0  1 169280  20128 110776 119652    4  252    76   252  323   173  0  0  0 100
 0  2 169280  21184 110776 119652    0    0     0     4  367   144  0  1  0 99
 0  0 169500  21528 110784 119132  760  260   760   276  479   542  8  1  1 89
 0  1 169864  20616 110784 119132  916  392   916   392  446   610  8  0  7 84
 0  0 170052  20288 110784 119132  308 1384   308  1384  398   304  7  0  0 93
 1  0 170324  19940 110784 118872  624 1028   624  1028  462   473  4  1  2 93
 0  0 171288  17076 110792 118872 2856 1288  2856  1308  995  1606  5  1  2 92
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  1 172920  19288 109812 116656  400 3120   440  3120  443   444  4  2  0 94
 0  0 173044  18728 109812 116332 2104  260  2104   260  842  1195  6  2  2 89
 0  0 173736  16616 109812 116332 2112  968  2112   968  783  1205  4  3  1 92
 0  0 175756  18672 107528 115436 1180 3120  1180  3120  650   820  4  1  1 93
 0  0 176276  18764 107016 115876  900  636   900   672  499   613  3  0  0 96
 0  1 177908  17164 106764 116128 1888 1788  1888  1788  728  1123  5  2  2 90
 0  1 179212  18980 106768 112812 1152 2588  1156  2588  600   792  4  1  2 92
 1  0 179232  18592 106768 112812  972  260   972   260  502   632 14  1 11 74
 1  3 186160  21716 100700 115976  432 11848   612 13152 1697 32637 15  3  5 76
 0  4 186680  21396 100600 116316   20  972    48  3848  568  2735  4  2  0 95
 0  0 187512  19008  99808 119944  232 1160   392  4228  431 43068 48  8  0 43
 1  0 187548  18320  99808 119944 1600  264  1600   264  699   964  4  2  0 94
 0  0 187692  19312  97664 121548  508 3716   672  3888  982 80685 36  5  0 59
 0  2 187692  20236  97408 121808   28  260    28  7168  605   309  1  1  0 98
 0  0 187692  15928  96756 127944  260  108   688   112  359 56966 80 10  0 10
 0  1 188068  18560  95076 127372   64 3172    72  3172  327 74023 77 17  2  4
 0  2 188316  17192  94708 126652   24 1116    32 15092  717 31274 17  3  0 79
 0  2 188340  18872  94708 126652   32  140    32   140  413   245 11  0  0 89
 0  1 188340  17744  94704 130760  464  776   720   996  526 45857 57  9  0 34
 1  1 189092  19488  91896 132344   36 1932    36  1932  378 35205 43  5  0 51
 0  0 189428  19372  91896 133200  104  520   104   520  366  5251 17  1  0 82
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  1 189440  17940  90372 137276    4   40     4 12132  426 75264 88 12  0  0
 0  1 189604  15948  89112 142604   84 1476    84  1684  348 70292 81  8  1  9
 0  2 189608  16116  88856 142984   24  380    24   380  301 11254 19  1  0 79
 0  1 189608  16392  88728 143112    4  132     4   132  361   164  5  1  0 94
 0  0 189608  16140  88600 143532  124    0   124     0  281 39115 51  6  0 43
 0  2 189996  20156  83392 141732  124  860   124 16764  398 42149 55 10  2 33
 0  2 190192  24016  82788 142992  148  260   148   496  488 33949 39  8  0 53
 0  0 190236  16616  79892 153808  196  736   196   740  321 64789 79 10  3  8
 1  0 190352  17044  75896 159160   20 1476    24  1476  330 63158 72  9  0 18
 0  0 190352  17484  75636 159844  272    0   272     0  414  9608 19  3  2 76
 0  1 190356  19176  69604 162352    4  256     4 17500  444 71621 82 15  0  3
 0  0 190356  17832  68084 166920   92  264   224   508  377 50727 61 10  0 29
 0  0 190356  16100  66308 170652  192  860   216   860  352 49668 61 11  2 26
 0  0 190356  15800  63984 172968  308    0   308     0  281 61277 71 12  1 15
 0  0 190356  16140  60004 177832  180 1184   180  1184  356 68540 76 15  0  8
 0  1 190356  19524  56228 172228  728    0   728 23372  531 12976 21  4  2 73
 0  0 190356  24032  56236 172440  304    0   304   340  552  7593 12  2  0 85
 0  0 190356  18720  55328 179572   56    4    56     4  217 73458 88  8  0  3
 0  0 190356  16000  52156 185020  444    0   444     0  315 55701 71  7  3 19
 0  0 190356  15796  52164 185132  580    0   580     0  348 40870 51  4  3 41
 0  1 190356  21028  52172 178684   20    0    20 18868  493 65412 78 14  0  8
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 190356  20512  52180 180140  588    0   600  4952  508 35353 41  7  1 50
 2  0 190480  17076  52180 183676   64  876    64   876  322 45864 50 12  1 36
 0  0 190480  15944  52180 184904  484    0   508     0  330 32803 41  5  2 51
 0  0 190480  15984  52044 184876  628    0   628     0  360 48566 59 10  2 29
 0  0 190460  23876  50132 180084   16    0    16 15052  483 72541 87 13  0  0
 0  0 190460  18156  50164 185180  592   28   720    28  358 47508 56 11  2 31
 0  0 190460  16936  50164 185788  712  760   712   760  465 44403 54  7  3 36
 0  0 190460  15924  50196 187520   44    0    44     0  216 76035 86 14  0  0
 0  0 190432  16364  50196 186452  744    0   744     0  389 37884 45  9  2 43
 1  1 190416  22076  48592 179556  152    4   152 23992  524 46308 61 12  0 27
 0  0 190416  23564  48352 180196  324    0   324   276  478 12913 18  2  1 79
 0  0 190416  18108  47324 187992  144    0   144     0  239 68394 82 11  2  5
 0  0 190412  18900  47152 188212  144  632   168   632  314 70875 79 13  0  7
 0  0 190508  17312  46256 190096  600  184   600   184  372 30280 39  5  3 53
 0  0 190508  20024  46076 187356  260    0   260 17828  588 61286 73 13  0 13
 0  0 190508  17400  44092 191568  396    0   396  7152  450 62819 78 11  0 10
 0  0 190508  15892  44092 192920  276  692   436   692  343 40320 50 10  3 37
 0  0 190508  15780  41720 195064  424    8   424     8  310 58656 70 10  2 17
 0  0 190508  16240  41036 195264   84 1000    88  1000  343 74358 83 15  0  2
 0  1 190508  22600  41036 187688  508    0   508 16772  604 18468 25  7  1 66
 0  0 190508  17616  41044 193416  184  748   208   980  351 69449 84 11  1  3
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 190508  17112  41044 193368  548  468   548   468  392  3478  9  0  0 91
 0  0 190508  15880  41056 194452  136    0   136     0  237 73951 81 19  0  0
 0  0 190508  17224  39104 194588  508 1044   508  1044  448 51911 64  7  4 24
 0  1 190508  20364  39020 189960  120    0   120 20384  561 39396 48  9  0 43
 0  0 190508  15884  39036 195764  120    0   300   252  306 74754 89 10  0  1
 0  0 190508  17380  39044 193784  476 1072   476  1072  400 54039 68  7  3 21
 0  0 190508  16144  39044 194376  656  976   656   976  421 30909 43  6  2 49
 0  0 190508  17116  37076 195284   80 1024   208  1024  304 75113 89 11  0  0
 0  0 190508  20976  37052 191260  196    0   196 22648  652 63850 76 14  2  8
 0  2 190508  17092  37052 193560 1360    0  1360  6740  674 19934 29  5  5 61
 0  1 190508  17844  37064 192428   92 1024    92  6208  363 69563 79 14  0  7
 0  1 190508  16256  36068 192284  268  720   284  7596  344 69449 88  8  1  2
 0  0 190508  16612  36092 193676  948  304   956   524  591 29138 36  9  2 53
 0  0 190508  16920  36128 193788   24    0    24  9020  433 74837 83 17  0  0
 0  0 190508  18260  36140 191300 1136 1176  1144  1176  537 46753 56  9  3 31
 0  0 190508  19744  36184 189608  648  872   668  8416  547 43203 54 10  0 35
 0  0 190508  19656  33560 192160  184    0   184  6076  379 72783 87 10  0  2
 0  2 190668  18988  31124 194716  800  924   816  6320  589 70386 73 12  1 14
 0  1 190668  18104  31292 195056  280    0   676  2800  404 11209 20  3  0 77
 0  1 190704  17520  31364 194712  836  908  1096  2448  533 46960 53 11  1 35
 1  1 190704  19612  31384 192232   60    0    64  6140  326 34655 41  7  0 51
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 190704  18276  31404 194528  816    0   820   224  504 36071 50  4  1 45
 0  1 190764  18092  31440 193168  744  292   764  7600  518 58419 71 12  2 14
 1  1 190764  20244  31480 192484  220    0   228  7328  572 67983 60  8  0 32
 0  0 190764  19624  31500 192316 1432    0  1432  4652  666 57526 71  9  2 17
 0  0 190764  17908  31500 193364  664    0   664  2660  425 24417 33  5  4 58
 0  0 190764  17188  31500 193364  704    0   704     0  381   513 13  0  3 84
 0  0 190764  16492  31500 193364  696    0   696    28  383   551 12  0  8 80
 0  0 190764  16008  31500 193264  744    0   744     0  390   527 15  1 13 71
 0  0 190764  16104  31500 193120    4    0     4     0  205 10549 57  4 38  1
 0  0 190796  15960  31520 193244    4   36    12    36  208 71955 87 11  1  0
 0  0 190800  15956  31528 193232    4  128     8   128  223 75142 82 17  0  0
 0  1 190804  20408  31528 183896    0  132     0 16844  432 72204 83 15  2  0
 0  0 190804  19168  31544 190004    4    0     4  5940  511 65219 85 12  0  3
 0  1 191536  16564  30536 190752   12 1492    16 11012  407 78807 83 14  2  0
 0  0 191592  17376  30560 192764   28  192    32  5540  449 48312 59 10  0 30
 0  1 191924  19456  30564 189780    0  788     4  5968  319 71282 84 13  0  3
 0  1 192160  16560  30584 193416   12  980   140  4192  405 65694 76 10  0 13
 1  0 192160  17984  28544 194404    0   24     0  5044  381 41633 55  7  0 38
 0  0 192252  15760  28548 196740    4  320     4   320  232 67814 84 13  3  0
 0  0 192252  15932  28552 197520    4  584     4   584  227 72643 88 11  1  0
 0  0 192252  16040  28552 198180    0    0     0     0  204 71268 88 10  2  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 192252  25484  28552 189372   72    0    72 23600  628 58521 82 10  2  6
 0  0 192344  19956  28556 194876   20  284    24   284  236 73922 87 12  0  1
 0  0 192416  16008  28572 198748   64  788   104   788  286 66635 81 12  3  4
 0  0 192416  16112  28580 199316   96    0   224     0  232 69911 84 12  0  3
 0  0 192416  16856  28588 198500   36   84    48    84  227 69297 84 10  2  4
 0  1 192416  22672  28604 188000   32  108    32 30012  588 57006 72 13  0 15
 0  0 192416  20560  27996 195232   24    0    24   236  390 67874 82 12  2  3
 0  0 192416  16280  26588 201364    8    0     8     0  205 75703 88 11  0  0
 0  0 192416  15840  26628 202288   64    4    64     4  220 68013 80 13  2  4
 0  0 192416  15812  26636 202280   28    0    36     0  213 70387 83 14  2  1
 0  1 192416  21628  26644 193012  104    0   104 27676  600 41980 53 11  0 35
 0  2 192416  19972  26368 198408   20    0    20  8196  491 66353 80 11  0  8
 0  0 192416  16044  22612 206184   12  980    12   984  278 69733 88  7  2  3
 0  0 192416  16028  22628 206152   28   44   156    44  218 68921 87  9  1  2
 0  0 192416  15932  22636 206196   44    0    44     0  215 68829 82 12  1  4
 0  0 192416  24404  22652 197680   28    0    32 19700  599 57227 71 14  0 14
 0  0 192416  18256  22660 203776   44    0    44     0  215 68627 80 15  2  2
 0  0 192416  16024  22676 205960   32    0    44     0  212 70892 81 14  1  3
 0  0 192416  16236  22676 206672   96    0    96     0  229 72056 85 11  0  4
 0  0 192416  16048  22676 206768   92    0    92     0  228 66009 85  7  2  5
 0  0 192416  25152  22684 197612   72    0    72 28300  705 49948 68  9  0 23
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 192416  21120  22692 201632    4    0     4     0  204 70962 85 12  2  1
 0  0 192416  16396  21000 207956   88    0   216     0  229 70002 87  8  2  2
 1  0 192416  15780  19652 209892   24    0    44     0  198 75237 86 13  1  0
 1  0 192416  16216  19660 209400   48    0    48     0  203 71537 84 13  1  2
 0  0 192416  24684  19680 200896   24    0    24 28548  698 59210 75 14  0 11
 0  0 192416  18332  19684 207192   52    0    52  8232  388 69260 81 14  2  2
 0  0 192416  15992  19684 209476   28    0    28     0  210 71936 82 15  3  0
 0  0 192416  15936  17916 211288   12    0    12     0  206 71615 83 14  3  0
 0  0 192416  15936  17648 211540   16    0    24     0  209 69922 85 10  2  2
 1  0 192416  21732  17660 205692   12    0   140 21844  630 71183 83 16  1  0
 0  0 192416  16368  17668 211012   32    0    36     0  212 73125 85 13  0  2
 0  0 192416  15768  17668 211016  596    0   596     0  354 60045 77  7  2 14
 0  0 192416  15800  17688 210348  616    0   616     0  357 58818 72 10  2 16
 2  1 192416  18844  17692 197592  540    0   540 26964  370 51516 60 15  2 23
 0  0 192416  24352  17712 201212   16    0    40   288  651 66507 81 11  0  8
 0  1 192416  19380  17712 206152   60    0    60 10348  379 67736 78 16  2  3
 0  0 192416  16016  17728 209484   24    0    24   224  255 69437 85 11  2  1
 2  0 192416  16220  17764 209144  100    0   112 13184  512 67258 78 16  2  4
 0  1 192612  16936  17768 206328   32  716    36  4620  309 51735 60 11  2 27
 0  1 192644  18872  17784 206276  164   96   308  3924  430 48352 56 10  0 33
 0  0 192644  16096  17824 208728  284    0   284  3976  373 66468 79 13  3  4
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 192644  18604  17832 204728 1480    0  1504  6256  706 47769 60  9  3 28
 0  0 192644  17824  17868 205444   24    0    24  7572  372 73810 86 14  0  0
 1  0 192644  17584  17872 205396  284    0   284   928  298  6643 41  1 27 32
 0  0 192644  17012  17880 205956    0    0     0   236  212 14323 62  3 35  0
 0  0 192644  17836  17912 205068   40    0    60  7572  380 71237 83 15  0  2
 0  0 192644  17944  17944 204880   48    0    68  4912  326 75289 87 12  0  0
 0  0 192644  18616  17984 204148   20    0    32  5756  345 72456 84 14  2  0
 0  0 192644  18196  18052 204472   28   12    52  8708  411 68422 82 15  2  0
 0  0 192644  18904  18100 203700   32    0    56  6528  367 69655 82 14  3  0
 0  0 192644  16048  18128 206508   20    0    32  2812  274 71779 84 13  3  0
 0  0 192644  17416  18180 205048   52    0   112  9864  440 70776 84 13  2  0
 0  0 192648  17244  18200 205176   24   40    44  2916  292 72434 87 11  2  0
 0  1 192648  22604  18208 199476    4    0    24  8676  363 70984 86 12  2  0
 0  0 192648  18092  18248 204212   72    0   196  7900  432 66855 83 10  0  6
 0  1 192648  19248  18276 202028   32    0    52  6560  314 75086 87 13  0  0
 0  1 192812  19892  18308 201800   16  428    80  5908  411 73586 88 10  0  2
 0  0 192812  16296  18336 205892    4    0    28  1692  279 73711 84 14  0  2
 0  0 192812  17440  18364 204788    8    0    96  9764  413 67265 79 14  1  6
 0  2 192920  18292  18376 203844   20 1128   152  5992  410 71576 86 12  0  2
 0  0 192920  18868  18412 203652   72    0   292 10036  462 72440 88 10  2  0
 0  1 192920  18584  17408 203964   12    0    16  6668  306 71992 85 13  2  0
procs                      memory      swap          io     system         cpu
